Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
Aaron's Company Inc,AAN,00258W10,BLFGN99,0.070124,Consumer Discretionary,51008,USD
Applied Optoelectronics Inc.,AAOI,03823U10,BDW0D09,0.018457,Information Technology,30658,USD
AAON Inc.,AAON,36020,2268130,0.303639,Industrials,62025,USD
American Assets Trust Inc.,AAT,2401310,B3NTLD4,0.171299,Real Estate,76242,USD
Atlas Air Worldwide Holdings Inc.,AAWW,4916420,B01Z8P4,0.171077,Industrials,39926,USD
Ameris Bancorp,ABCB,03076K10,2038849,0.309592,Financials,106074,USD
Asbury Automotive Group Inc.,ABG,4343610,2855855,0.326151,Consumer Discretionary,29308,USD
ABM Industries Incorporated,ABM,95710,2024901,0.316597,Industrials,101462,USD
Allegiance Bancshares Inc.,ABTX,01748H10,BYV3856,0.075748,Financials,28507,USD
Arcosa Inc.,ACA,3965310,BGPZ5W8,0.311029,Industrials,73709,USD
Axcelis Technologies Inc.,ACLS,5454020,BD420Q8,0.111417,Information Technology,50639,USD
Agree Realty Corporation,ADC,849210,2062161,0.416639,Real Estate,82077,USD
ADTRAN Inc.,ADTN,00738A10,2052924,0.080189,Information Technology,73461,USD
Addus HomeCare Corporation,ADUS,673910,B55BN47,0.184635,Health Care,22713,USD
Aegion Corporation,AEGN,00770F10,B764L34,0.068536,Industrials,47546,USD
Advanced Energy Industries Inc.,AEIS,797310,2049175,0.444395,Information Technology,58384,USD
American Equity Investment Life Holding Company,AEL,2567620,2191300,0.294755,Financials,140039,USD
Assured Guaranty Ltd.,AGO,G0585R10,B00V7H8,0.309729,Financials,126538,USD
Agilysys Inc.,AGYS,00847J10,2689162,0.093931,Information Technology,30520,USD
Armada Hoffler Properties Inc.,AHH,04208T10,B96FTB5,0.074734,Real Estate,89525,USD
Albany International Corp. Class A,AIN,1234810,2012757,0.25788,Industrials,46639,USD
AAR CORP.,AIR,36110,2001119,0.132189,Industrials,50084,USD
Applied Industrial Technologies Inc.,AIT,03820C10,2086309,0.351888,Industrials,58905,USD
Aerojet Rocketdyne Holdings Inc.,AJRD,780010,BWD7PX9,0.377211,Industrials,111388,USD
Acadia Realty Trust,AKR,423910,2566522,0.147975,Real Estate,131359,USD
Alexander & Baldwin Inc.,ALEX,1449110,B827VB2,0.136735,Real Estate,109401,USD
Alamo Group Inc.,ALG,1131110,2021634,0.158164,Industrials,15090,USD
Allegiant Travel Company,ALGT,01748X10,B15M2C3,0.267211,Industrials,19714,USD
Alarm.com Holdings Inc.,ALRM,1164210,BYN7H26,0.409515,Information Technology,67803,USD
Ambac Financial Group Inc.,AMBC,2313988,B7ZKH46,0.096958,Financials,69818,USD
AMC Networks Inc. Class A,AMCX,00164V10,B4MG4Z6,0.112526,Communication Services,45072,USD
AMN Healthcare Services Inc.,AMN,174410,2813552,0.375422,Health Care,71309,USD
Amphastar Pharmaceuticals Inc,AMPH,03209R10,BNFWZS4,0.080442,Health Care,55477,USD
AMERISAFE Inc.,AMSF,03071H10,B0PPHS6,0.130927,Financials,29586,USD
American Woodmark Corporation,AMWD,3050610,2030674,0.18811,Industrials,25910,USD
Andersons Inc.,ANDE,3416410,2274922,0.082896,Consumer Staples,46456,USD
Abercrombie & Fitch Co. Class A,ANF,289620,2004185,0.151392,Consumer Discretionary,94315,USD
AngioDynamics Inc.,ANGO,03475V10,B00CR04,0.064056,Health Care,56746,USD
Anika Therapeutics Inc.,ANIK,3525510,2035754,0.062217,Health Care,21523,USD
ANI Pharmaceuticals Inc.,ANIP,00182C10,BCDWBX6,0.034482,Health Care,14850,USD
American Public Education Inc.,APEI,02913V10,B292GM4,0.056779,Consumer Discretionary,22588,USD
Apogee Enterprises Inc.,APOG,3759810,2046176,0.089001,Industrials,39916,USD
ArcBest Corporation,ARCB,03937C10,BLTFST7,0.133258,Industrials,38426,USD
Apollo Commercial Real Estate Finance Inc.,ARI,03762U10,B4JTYX6,0.181525,Financials,207060,USD
Arlo Technologies Inc.,ARLO,04206A10,BYWPZY9,0.075525,Information Technology,121838,USD
Arconic Corp.,ARNC,03966V10,BKLJ8S9,0.347029,Materials,147674,USD
Archrock Inc.,AROC,03957W10,BYRGSX7,0.13807,Energy,195138,USD
ARMOUR Residential REIT Inc.,ARR,4231550,BYRYKS0,0.083037,Financials,97212,USD
Advansix Inc.,ASIX,00773T10,BYMMZL7,0.064397,Materials,41964,USD
Astec Industries Inc.,ASTE,4622410,2060370,0.162577,Industrials,34404,USD
Allegheny Technologies Incorporated,ATI,01741R10,2526117,0.247603,Materials,192956,USD
ATN International Inc.,ATNI,00215F10,BDC84D3,0.059685,Communication Services,16580,USD
Avista Corporation,AVA,05379B10,2942605,0.312489,Utilities,103384,USD
AeroVironment Inc.,AVAV,807310,B1P5YY8,0.21639,Industrials,33244,USD
American Vanguard Corporation,AVD,3037110,2025711,0.051897,Materials,40888,USD
American States Water Company,AWR,2989910,2267171,0.335162,Utilities,56025,USD
Axos Financial Inc.,AX,05465C10,BGK38H3,0.218992,Financials,78935,USD
American Axle & Manufacturing Holdings Inc.,AXL,2406110,2382416,0.104249,Consumer Discretionary,170957,USD
AZZ Inc.,AZZ,247410,2067672,0.144792,Industrials,39734,USD
Barnes Group Inc.,B,6780610,2080732,0.272596,Industrials,70954,USD
Banc of California Incorporated,BANC,05990K10,BCD47X4,0.075566,Financials,67220,USD
BancFirst Corporation,BANF,05945F10,2078782,0.129051,Financials,28532,USD
Banner Corporation,BANR,06652V20,2346003,0.185884,Financials,53577,USD
Bed Bath & Beyond Inc.,BBBY,7589610,2085878,0.285405,Consumer Discretionary,191901,USD
Boise Cascade Co.,BCC,09739D10,B9BP4R1,0.212024,Materials,59840,USD
Bonanza Creek Energy Inc,BCEI,9779340,BYXGJD8,0.050774,Energy,28028,USD
Blucora Inc.,BCOR,9522910,B8L2DV2,0.074648,Financials,72892,USD
Balchem Corporation,BCPC,5766520,2072074,0.426846,Materials,49238,USD
Brandywine Realty Trust,BDN,10536820,2518954,0.230615,Real Estate,259383,USD
BioTelemetry Inc.,BEAT,9067210,BCD7L64,0.24004,Health Care,51974,USD
Bel Fuse Inc. Class B,BELFB,7734730,2279897,0.016859,Information Technology,15589,USD
Saul Centers Inc.,BFS,80439510,2777777,0.048694,Real Estate,18985,USD
B&G Foods Inc.,BGS,05508R10,B034L49,0.222421,Consumer Staples,97547,USD
Benchmark Electronics Inc.,BHE,08160H10,2090816,0.108269,Information Technology,54986,USD
Berkshire Hills Bancorp Inc.,BHLB,8468010,2606570,0.109422,Financials,76197,USD
Big Lots Inc.,BIG,8930210,2218447,0.189654,Consumer Discretionary,54251,USD
BJ's Restaurants Inc.,BJRI,09180C10,2200552,0.086295,Consumer Discretionary,34057,USD
Buckle Inc.,BKE,11844010,2149934,0.108654,Consumer Discretionary,43212,USD
BankUnited Inc.,BKU,06652K10,B3NNTZ4,0.35177,Financials,140594,USD
Bloomin' Brands Inc.,BLMN,9423510,B847RJ0,0.168019,Consumer Discretionary,121395,USD
Badger Meter Inc.,BMI,5652510,2069128,0.303347,Information Technology,44161,USD
Barnes & Noble Education Inc.,BNED,06777U10,BYQDT70,0.011891,Consumer Discretionary,41648,USD
DMC Global Inc.,BOOM,23291C10,BYN8NH6,0.080903,Energy,22126,USD
Boot Barn Holdings Inc.,BOOT,9940610,BRS6600,0.135812,Consumer Discretionary,43742,USD
Boston Private Financial Holdings Inc.,BPFH,10111910,2081133,0.074871,Financials,124764,USD
Brady Corporation Class A,BRC,10467410,2117726,0.274195,Industrials,73707,USD
Brookline Bancorp Inc.,BRKL,11373M10,2967675,0.109081,Financials,119153,USD
Brooks Automation Inc.,BRKS,11434010,2145460,0.620868,Information Technology,111973,USD
BrightSphere Investment Group Inc.,BSIG,10948W10,BJBLBN4,0.136371,Financials,91312,USD
Cadence Bancorporation Class A,CADE,12739A10,BYWVH74,0.219946,Financials,191814,USD
Cheesecake Factory Incorporated,CAKE,16307210,2192392,0.183898,Consumer Discretionary,63771,USD
Caleres Inc.,CAL,12950010,BWX4MD9,0.057487,Consumer Discretionary,58437,USD
Cal-Maine Foods Inc.,CALM,12803020,2158781,0.164497,Consumer Staples,56466,USD
CalAmp Corp.,CAMP,12812610,2164700,0.042893,Information Technology,53781,USD
Meta Financial Group Inc.,CASH,59100U10,2420316,0.141194,Financials,52372,USD
Cardtronics plc Class A,CATM,G1991C10,BYT1841,0.152555,Information Technology,54485,USD
Cato Corporation Class A,CATO,14920510,2180438,0.019299,Consumer Discretionary,30007,USD
Cincinnati Bell Inc.,CBB,17187150,BD5CWW7,0.091055,Communication Services,76961,USD
Community Bank System Inc.,CBU,20360710,2222062,0.406597,Financials,81481,USD
Cogent Communications Holdings Inc,CCOI,19239V30,B06RWD1,0.290252,Communication Services,64040,USD
Cross Country Healthcare Inc.,CCRN,22748310,2809056,0.036952,Health Care,51940,USD
Century Communities Inc.,CCS,15650430,BN7ZZ47,0.147577,Consumer Discretionary,44186,USD
CONSOL Energy Inc,CEIX,20854L10,BF4L070,0.01883,Energy,37283,USD
Central Garden & Pet Company,CENT,15352710,2183868,0.042422,Consumer Staples,14500,USD
Central Garden & Pet Company Class A,CENTA,15352720,B1P36Y6,0.161343,Consumer Staples,59232,USD
Century Aluminum Company,CENX,15643110,2186254,0.067433,Materials,74801,USD
CEVA Inc.,CEVA,15721010,2986937,0.101736,Information Technology,33598,USD
Capitol Federal Financial Inc.,CFFN,14057J10,B3KWJV0,0.192428,Financials,200998,USD
City Holding Company,CHCO,17783510,2161778,0.132679,Financials,24358,USD
Community Healthcare Trust Incorporated,CHCT,20369C10,BXC87C3,0.118823,Real Estate,32428,USD
Chefs' Warehouse Inc.,CHEF,16308610,B63RTD5,0.090148,Consumer Staples,49657,USD
Coherus BioSciences Inc.,CHRS,19249H10,BRK0149,0.131313,Health Care,95088,USD
Chico's FAS Inc.,CHS,16861510,2196781,0.019999,Consumer Discretionary,174175,USD
Chuy's Holdings Inc.,CHUY,17160410,B88WMY1,0.057616,Consumer Discretionary,29682,USD
CIRCOR International Inc.,CIR,17273K10,2496384,0.084909,Industrials,30067,USD
SEACOR Holdings Inc.,CKH,81190410,2797838,0.093358,Industrials,28795,USD
Core Laboratories NV,CLB,N2271710,2182531,0.152352,Energy,67599,USD
Chatham Lodging Trust,CLDT,16208T10,B5LYMC1,0.064719,Real Estate,71056,USD
Cleveland-Cliffs Inc,CLF,18589910,BYVZ186,0.641013,Materials,607975,USD
Mack-Cali Realty Corporation,CLI,55448910,2192314,0.133872,Real Estate,131320,USD
Clearwater Paper Corporation,CLW,18538R10,B3K9Z35,0.072704,Materials,25273,USD
Capstead Mortgage Corporation,CMO,1.41E+54,2771984,0.066889,Financials,146131,USD
Comtech Telecommunications Corp.,CMTL,20582620,2215341,0.048117,Information Technology,36917,USD
CONMED Corporation,CNMD,20741010,2216010,0.349402,Health Care,43484,USD
Consolidated Communications Holdings Inc.,CNSL,20903410,B07LSQ7,0.045259,Communication Services,109042,USD
PC Connection Inc.,CNXN,69318J10,2157175,0.058664,Information Technology,16781,USD
Cohu Inc.,COHU,19257610,2208426,0.184506,Information Technology,64137,USD
Coca-Cola Consolidated Inc.,COKE,19109810,2206721,0.14218,Consumer Staples,7034,USD
Columbia Banking System Inc.,COLB,19723610,2176608,0.285199,Financials,109375,USD
Conn's Inc.,CONN,20824210,2925792,0.025457,Consumer Discretionary,29776,USD
Mr. Cooper Group Inc.,COOP,62482R10,BGHKHS1,0.236623,Financials,110948,USD
Core-Mark Holding Company Inc.,CORE,21868110,B0637B2,0.164585,Consumer Discretionary,68766,USD
Corcept Therapeutics Incorporated.,CORT,21835210,B00SCY1,0.310708,Health Care,158171,USD
Callon Petroleum Company,CPE,13123X50,BMYVSM0,0.067085,Energy,59104,USD
Central Pacific Financial Corp.,CPF,15476040,2230946,0.058488,Financials,42568,USD
Chesapeake Utilities Corporation,CPK,16530310,2190750,0.204262,Utilities,25008,USD
Capri Holdings Limited,CPRI,G1890L10,BJ1N1M9,0.677403,Consumer Discretionary,228931,USD
Cooper-Standard Holdings Inc.,CPS,21676P10,B51JS17,0.069339,Consumer Discretionary,25369,USD
Computer Programs and Systems Inc.,CPSI,20530610,2872122,0.040831,Health Care,19442,USD
America's Car-Mart Inc.,CRMT,03062T10,2813961,0.085248,Consumer Discretionary,9724,USD
Crocs Inc.,CROX,22704610,B0T7Z62,0.497743,Consumer Discretionary,102799,USD
Carpenter Technology Corporation,CRS,14428510,2177504,0.159623,Materials,72934,USD
CorVel Corporation,CRVL,22100610,2347277,0.10178,Health Care,13824,USD
CryoLife Inc.,CRY,22890310,2239017,0.09788,Health Care,57926,USD
CSG Systems International Inc.,CSGS,12634910,2210885,0.168886,Information Technology,50437,USD
Cardiovascular Systems Inc.,CSII,14161910,B17HG57,0.171626,Health Care,60525,USD
Cooper Tire & Rubber Company,CTB,21683110,2222608,0.230014,Consumer Discretionary,76788,USD
CareTrust REIT Inc,CTRE,14174T10,BMP8TL6,0.249656,Real Estate,145609,USD
CTS Corporation,CTS,12650110,2239244,0.124757,Information Technology,48803,USD
Cubic Corporation,CUB,22966910,2239266,0.232192,Industrials,47619,USD
Customers Bancorp Inc.,CUBI,23204G10,B6XHXY4,0.063412,Financials,44664,USD
Cutera Inc.,CUTR,23210910,2839741,0.043757,Health Care,26233,USD
CVB Financial Corp.,CVBF,12660010,2160645,0.295562,Financials,193876,USD
Cavco Industries Inc.,CVCO,14956810,2787022,0.180015,Consumer Discretionary,13015,USD
Covetrus Inc.,CVET,22304C10,BHZSB82,0.307793,Health Care,149710,USD
Calavo Growers Inc.,CVGW,12824610,2859200,0.146286,Consumer Staples,25235,USD
California Water Service Group,CWT,13078810,2165383,0.303904,Utilities,74927,USD
CoreCivic Inc.,CXW,21871N10,BZ8VC58,0.106428,Real Estate,182179,USD
Community Health Systems Inc.,CYH,20366810,2600248,0.112535,Health Care,169851,USD
Cytokinetics Incorporated,CYTK,23282W60,BBBSBJ5,0.1698,Health Care,107603,USD
Daktronics Inc.,DAKT,23426410,2254010,0.021093,Information Technology,59233,USD
Diebold Nixdorf Incorporated,DBD,25365110,2269229,0.100832,Information Technology,119676,USD
Designer Brands Inc. Class A,DBI,25056510,BJ9J282,0.048498,Consumer Discretionary,87307,USD
Dime Community Bancshares Inc.,DCOM,25392210,2034148,0.052381,Financials,42895,USD
3D Systems Corporation,DDD,88554D20,2889768,0.142089,Information Technology,184996,USD
Easterly Government Properties Inc.,DEA,27616P10,BVSS693,0.2015,Real Estate,121197,USD
Donnelley Financial Solutions Inc.,DFIN,25787G10,BYND5T7,0.068485,Financials,45038,USD
Digi International Inc.,DGII,25379810,2269661,0.064793,Information Technology,44447,USD
Diversified Healthcare Trust,DHC,25525P10,BKRN595,0.117636,Real Estate,361879,USD
Dine Brands Global Inc.,DIN,25442310,2456957,0.129276,Consumer Discretionary,24971,USD
Diodes Incorporated,DIOD,25454310,2270500,0.335705,Information Technology,63944,USD
Deluxe Corporation,DLX,24801910,2260363,0.135088,Industrials,63758,USD
NOW Inc.,DNOW,67011P10,BMH0MV1,0.080317,Industrials,164325,USD
Dorman Products Inc.,DORM,25827810,2718594,0.332817,Consumer Discretionary,43913,USD
DiamondRock Hospitality Company,DRH,25278430,B090B96,0.194007,Real Estate,303848,USD
Dril-Quip Inc.,DRQ,26203710,2116767,0.135654,Energy,53390,USD
DSP Group Inc.,DSPG,23332B10,2275680,0.041294,Information Technology,32937,USD
DXP Enterprises Inc.,DXPE,23337740,2276627,0.044973,Industrials,25559,USD
Brinker International Inc.,EAT,10964110,2193544,0.283779,Consumer Discretionary,68575,USD
Ebix Inc.,EBIX,27871520,2008400,0.099424,Information Technology,35333,USD
Echo Global Logistics Inc,ECHO,27875T10,B4M7GZ3,0.093502,Industrials,41035,USD
US Ecology Inc.,ECOL,91734M10,BK4N2K8,0.134739,Industrials,47976,USD
Encore Capital Group Inc.,ECPG,29255410,2443078,0.144379,Financials,47742,USD
Eagle Bancorp Inc.,EGBN,26894810,2648055,0.153072,Financials,48983,USD
8x8 Inc.,EGHT,28291410,2037170,0.385741,Information Technology,158446,USD
NIC Inc.,EGOV,62914B10,2438126,0.193344,Information Technology,102220,USD
Eagle Pharmaceuticals Inc.,EGRX,26979610,BJH7VB4,0.064361,Health Care,18305,USD
eHealth Inc.,EHTH,28238P10,B1G0F83,0.21599,Financials,39217,USD
Employers Holdings Inc.,EIG,29221810,B1Q1RR9,0.111432,Financials,44303,USD
Callaway Golf Company,ELY,13119310,2173933,0.251878,Consumer Discretionary,142582,USD
Endo International Plc,ENDP,G3040110,BJ3V905,0.143777,Health Care,349005,USD
Ensign Group Inc.,ENSG,29358P10,B1YWPP8,0.431519,Health Care,77016,USD
Enanta Pharmaceuticals Inc.,ENTA,29251M10,B9L5200,0.087255,Health Care,27140,USD
Enova International Inc,ENVA,29357K10,BRYQ4L1,0.094907,Financials,54249,USD
Enerpac Tool Group Corp Class A,EPAC,29276510,BH3T5K7,0.174113,Industrials,91118,USD
Bottomline Technologies (de) Inc.,EPAY,10138810,2389558,0.224169,Information Technology,58645,USD
Essential Properties Realty Trust Inc.,EPRT,2.97E+14,BFFK0X2,0.242911,Real Estate,154237,USD
ESCO Technologies Inc.,ESE,29631510,2321583,0.315689,Industrials,39598,USD
Ethan Allen Interiors Inc.,ETH,29760210,2320825,0.047923,Consumer Discretionary,32752,USD
EVERTEC Inc.,EVTC,30040P10,B7KY3Z6,0.283936,Information Technology,90814,USD
ExlService Holdings Inc.,EXLS,30208110,B07LST0,0.336276,Information Technology,51978,USD
Exponent Inc.,EXPO,30214U10,2330318,0.526511,Industrials,78602,USD
Exterran Corp.,EXTN,30227H10,BYMC5T5,0.012,Energy,34914,USD
Extreme Networks Inc.,EXTR,30226D10,2407052,0.09003,Information Technology,184197,USD
EZCORP Inc. Class A,EZPW,30230110,2326287,0.030489,Financials,77057,USD
FARO Technologies Inc.,FARO,31164210,2106661,0.147665,Information Technology,27036,USD
Flagstar Bancorp Inc.,FBC,33793070,B7SVZ97,0.223251,Financials,78196,USD
FB Financial Corporation,FBK,30257X10,BYY5Z69,0.12263,Financials,46682,USD
Foundation Building Materials Inc.,FBM,35039210,BYXR306,0.050329,Industrials,33752,USD
First Bancorp,FBNC,31891010,2351494,0.113355,Financials,43824,USD
First Bancorp,FBP,31867270,2296926,0.225459,Financials,332502,USD
First Commonwealth Financial Corporation,FCF,31982910,2351546,0.119718,Financials,148519,USD
Four Corners Property Trust Inc.,FCPT,35086T10,BZ16HK0,0.240841,Real Estate,107009,USD
Fresh Del Monte Produce Inc.,FDP,G3673810,2118707,0.091807,Consumer Staples,45619,USD
Franklin Electric Co. Inc.,FELE,35351410,2350383,0.322771,Industrials,58383,USD
FutureFuel Corp.,FF,36116M10,B3BBRD4,0.037505,Materials,40085,USD
First Financial Bancorp.,FFBC,32020910,2352806,0.201763,Financials,149376,USD
First Hawaiian Inc.,FHB,32051X10,BDC6HG1,0.352916,Financials,197608,USD
Comfort Systems USA Inc.,FIX,19990810,2036047,0.219869,Industrials,55471,USD
National Beverage Corp.,FIZZ,63501710,2638625,0.116409,Consumer Staples,17778,USD
Fulgent Genetics Inc.,FLGT,35966410,BYQBFQ5,0.069275,Health Care,17905,USD
SPX Flow Inc.,FLOW,78469X10,BYMN2T7,0.288735,Industrials,64478,USD
First Midwest Bancorp Inc.,FMBI,32086710,2341439,0.202851,Financials,174311,USD
Fabrinet,FN,G3323L10,B4JSZL8,0.296475,Information Technology,55877,USD
Ferro Corporation,FOE,31540510,2335001,0.135679,Materials,124739,USD
FormFactor Inc.,FORM,34637510,2891826,0.37989,Information Technology,116948,USD
Forrester Research Inc.,FORR,34656310,2398855,0.055863,Industrials,16417,USD
Fossil Group Inc.,FOSL,34988V10,BBGT609,0.072016,Consumer Discretionary,69846,USD
Fiesta Restaurant Group Inc.,FRGI,31660B10,B7V5P52,0.024645,Consumer Discretionary,25577,USD
Franklin Street Properties Corp.,FSP,35471R10,B02T2D1,0.053079,Real Estate,145568,USD
Federal Signal Corporation,FSS,31385510,2333986,0.23553,Industrials,91885,USD
H.B. Fuller Company,FUL,35969410,2354664,0.315779,Materials,78546,USD
Forward Air Corporation,FWRD,34985310,2510790,0.246046,Industrials,42558,USD
Greenbrier Companies Inc.,GBX,39365710,2387530,0.135126,Industrials,49806,USD
Gannett Co. Inc.,GCI,36472T10,BKPH157,0.041816,Communication Services,192495,USD
Genesco Inc.,GCO,37153210,2367101,0.048059,Consumer Discretionary,20815,USD
GCP Applied Technologies Inc.,GCP,36164Y10,BYW8TV3,0.134541,Materials,73732,USD
Green Dot Corporation Class A,GDOT,39304D10,B3WNNP3,0.354351,Financials,81300,USD
GEO Group Inc,GEO,36162J10,BNLYWQ1,0.134386,Real Estate,183688,USD
Guess? Inc.,GES,40161710,2387109,0.085161,Consumer Discretionary,56728,USD
Griffon Corporation,GFF,39843310,2463344,0.102776,Industrials,68040,USD
Greenhill & Co. Inc.,GHL,39525910,B00G8B4,0.023986,Financials,22323,USD
G-III Apparel Group Ltd.,GIII,36237H10,2369721,0.11566,Consumer Discretionary,65559,USD
Glaukos Corp,GKOS,37732210,BYMWL19,0.355723,Health Care,67988,USD
Glatfelter Corporation,GLT,37732010,BMH61S9,0.087568,Materials,66748,USD
Glu Mobile Inc.,GLUU,37989010,B1VP204,0.158821,Communication Services,223730,USD
GameStop Corp. Class A,GME,36467W10,B0LLFT5,0.084952,Consumer Discretionary,82269,USD
GMS Inc.,GMS,36251C10,BYY9FS3,0.140618,Industrials,64848,USD
Global Net Lease Inc,GNL,37937820,BZCFW78,0.178811,Real Estate,136540,USD
Group 1 Automotive Inc.,GPI,39890510,2121352,0.246994,Consumer Discretionary,26025,USD
Granite Point Mortgage Trust Inc.,GPMT,38741L10,BF11FD4,0.063833,Financials,82608,USD
Green Plains Inc.,GPRE,39322210,B11FJD6,0.05436,Energy,50481,USD
Chart Industries Inc.,GTLS,16115Q30,B19HNF4,0.475162,Industrials,53612,USD
Getty Realty Corp.,GTY,37429710,2698146,0.118859,Real Estate,53233,USD
Granite Construction Incorporated,GVA,38732810,2381189,0.148961,Industrials,71060,USD
Great Western Bancorp Inc.,GWB,39141610,BRHZ1X6,0.121386,Financials,83003,USD
Hawaiian Holdings Inc.,HA,41987910,2408044,0.103574,Industrials,69388,USD
Hanmi Financial Corporation,HAFC,41049520,B6TPXR5,0.039207,Financials,45569,USD
Haynes International Inc.,HAYN,42087720,B02WVH7,0.035623,Materials,18597,USD
Warrior Met Coal Inc.,HCC,93627C10,BF2X272,0.117066,Materials,77540,USD
HCI Group Inc.,HCI,4.04E+14,BBN23F5,0.036988,Financials,9330,USD
Heritage Financial Corporation,HFWA,42722X10,2619880,0.09991,Financials,54200,USD
Hillenbrand Inc.,HI,43157110,B2QGDP1,0.338888,Industrials,113753,USD
Hibbett Sports Inc.,HIBB,42856710,2428376,0.090293,Consumer Discretionary,25224,USD
Harmonic Inc.,HLIT,41316010,2510659,0.079642,Information Technology,146440,USD
Helix Energy Solutions Group Inc.,HLX,42330P10,2037062,0.069174,Energy,212798,USD
Horace Mann Educators Corporation,HMN,44032710,2437112,0.208905,Financials,63105,USD
HomeStreet Inc.,HMST,43785V10,B4WHS46,0.089381,Financials,34411,USD
HMS Holdings Corp.,HMSY,40425J10,2418043,0.332698,Health Care,134726,USD
Hanger Inc.,HNGR,41043F20,2796653,0.103084,Health Care,57495,USD
Hope Bancorp Inc.,HOPE,43940T10,BYN87K7,0.154806,Financials,187536,USD
Helmerich & Payne Inc.,HP,42345210,2420101,0.32218,Energy,164076,USD
Harsco Corporation,HSC,41586410,2412700,0.163472,Industrials,120267,USD
Heidrick & Struggles International Inc.,HSII,42281910,2413071,0.063298,Industrials,29222,USD
Heska Corporation,HSKA,4.28E+34,B44C366,0.148089,Health Care,13466,USD
HealthStream Inc.,HSTM,42222N10,2577870,0.060692,Health Care,38613,USD
Hersha Hospitality Trust Class A,HT,42782550,BYYTSK6,0.036421,Real Estate,55754,USD
Heartland Express Inc.,HTLD,42234710,2414018,0.109301,Industrials,74978,USD
Hub Group Inc. Class A,HUBG,44332010,2407632,0.229595,Industrials,50936,USD
Haverty Furniture Companies Inc.,HVT,41959610,2414245,0.052789,Consumer Discretionary,26110,USD
Hawkins Inc.,HWKN,42026110,2415594,0.0565,Materials,14196,USD
MarineMax Inc.,HZO,56790810,2250353,0.078529,Consumer Discretionary,32885,USD
Installed Building Products Inc.,IBP,45780R10,BJSP4C9,0.251539,Consumer Discretionary,34580,USD
Independent Bank Group Inc.,IBTX,45384B10,B9M9ZZ7,0.262019,Financials,55851,USD
Ichor Holdings Ltd.,ICHR,G4740B10,BD2B5Y0,0.086773,Information Technology,34854,USD
Insteel Industries Inc.,IIIN,45774W10,2325875,0.054118,Industrials,29620,USD
Innovative Industrial Properties Inc,IIPR,45781V10,BD0NN55,0.412423,Real Estate,33004,USD
Industrial Logistics Properties Trust,ILPT,45623710,BFFK7S6,0.176245,Real Estate,99419,USD
Independent Bank Corp.,INDB,45383610,2447821,0.290989,Financials,50298,USD
Inogen Inc.,INGN,45780L10,BJSVLL5,0.082398,Health Care,27615,USD
Summit Hotel Properties Inc.,INN,86608210,B3M7R64,0.114053,Real Estate,159273,USD
Innoviva Inc.,INVA,45781M10,BDDXF67,0.075521,Health Care,94600,USD
Innospec Inc.,IOSP,45768S10,2245597,0.248006,Materials,37467,USD
Inter Parfums Inc.,IPAR,45833410,2473150,0.11595,Consumer Staples,26636,USD
iRobot Corporation,IRBT,46272610,B0J2NS5,0.243644,Consumer Discretionary,42256,USD
Iridium Communications Inc.,IRDM,46269C10,B2QH310,0.457568,Communication Services,177646,USD
Investors Real Estate Trust,IRET,46173050,BFWQ204,0.109525,Real Estate,19376,USD
Independence Realty Trust Inc.,IRT,45378A10,BCRYTK1,0.147985,Real Estate,144286,USD
Integer Holdings Corporation,ITGR,45826H10,BD06LM7,0.307309,Health Care,49982,USD
