Ticker,pct change,Sector,Industry,Full Time Emp,Year
TRST,-21.068702290076335,Financial Services,Banks-Regional,771.0,2020
LNTH,-22.791023842917262,Healthcare,Diagnostics & Research,508.0,2020
EPRT,-30.174446016030167,Real Estate,REIT-Diversified,27.0,2020
MDC,14.384396586753349,Consumer Cyclical,Residential Construction,1656.0,2020
VRA,-22.978177150192554,Consumer Cyclical,Footwear & Accessories,2700.0,2020
FORR,2.9784240150093884,Industrials,Consulting Services,1823.0,2020
GTLS,47.158903204492894,Industrials,Specialty Industrial Machinery,5743.0,2020
MOV,0.7492795389049138,Consumer Cyclical,Luxury Goods,1145.0,2020
RPT,-58.70307167235496,Real Estate,REIT-Retail,104.0,2020
AVA,-27.828054298642535,Utilities,Utilities-Diversified,1920.0,2020
ZYXI,27.086494688922613,Healthcare,Medical Devices,283.0,2020
SWM,15.058195926285162,Basic Materials,Paper & Paper Products,3400.0,2020
MXL,38.16624365482234,Technology,Semiconductors,697.0,2020
VIVO,50.82458770614693,Healthcare,Diagnostics & Research,0.0,2020
MTH,16.664709336465076,Consumer Cyclical,Residential Construction,1510.0,2020
LGIH,25.892193308550187,Consumer Cyclical,Residential Construction,953.0,2020
KNSL,52.43211727469599,Financial Services,Insurance-Property & Casualty,275.0,2020
LTHM,43.75373580394501,Basic Materials,Specialty Chemicals,800.0,2020
WD,26.848892317866195,Financial Services,Mortgage Finance,861.0,2020
CMTL,-60.968819599109125,Technology,Communication Equipment,2034.0,2020
ZEUS,7.836990595611286,Basic Materials,Steel,1551.0,2020
VVI,-92.42155121373592,Industrials,Specialty Business Services,5361.0,2020
ARI,-55.44217687074832,Real Estate,REIT-Mortgage,0.0,2020
NTUS,-53.83480825958702,Healthcare,Medical Devices,1484.0,2020
LXP,0.0,Real Estate,REIT-Diversified,57.0,2020
KELYA,17.04810836057916,Industrials,Staffing & Employment Services,7700.0,2020
FBC,7.311941083640192,Financial Services,Banks-Regional,4871.0,2020
CPS,19.75794251134644,Consumer Cyclical,Auto Parts,28000.0,2020
SKT,-30.392156862745097,Real Estate,REIT-Retail,285.0,2020
CHCO,-6.937968065564521,Financial Services,Banks-Regional,921.0,2020
MRTN,-21.332554061952088,Industrials,Trucking,4087.0,2020
CENT,14.335106382978724,Consumer Defensive,Packaged Foods,5600.0,2020
VECO,30.060340098738347,Technology,Semiconductor Equipment & Materials,954.0,2020
MLAB,6.651490360674393,Technology,Scientific & Technical Instruments,460.0,2020
CUB,-2.835092140494573,Industrials,Aerospace & Defense,6100.0,2020
VBTX,-14.424242424242426,Financial Services,Banks-Regional,676.0,2020
ECPG,14.569703069954704,Financial Services,Mortgage Finance,7300.0,2020
DRQ,-24.27833485262839,Energy,Oil & Gas Equipment & Services,1444.0,2020
HIBB,44.07582938388626,Consumer Cyclical,Specialty Retail,3500.0,2020
FLGT,70.38512616201858,Healthcare,Diagnostics & Research,473.0,2020
WNC,34.42622950819673,Industrials,Farm & Heavy Construction Machinery,6900.0,2020
SPOK,1.5755329008341052,Communication Services,Telecom Services,613.0,2020
CAMP,12.306289881495,Technology,Communication Equipment,1080.0,2020
SKYW,-24.932065217391315,Industrials,Airlines,13700.0,2020
BHLB,-51.83387270765911,Financial Services,Banks-Regional,1507.0,2020
UNF,1.0096597252560477,Industrials,Specialty Business Services,14000.0,2020
CMO,-36.09271523178809,Real Estate,REIT-Mortgage,14.0,2020
CORT,51.60427807486631,Healthcare,Biotechnology,206.0,2020
DRH,-15.119047619047613,Real Estate,REIT-Hotel & Motel,31.0,2020
DBI,-90.88471849865952,Consumer Cyclical,Apparel Retail,15800.0,2020
SRDX,-0.22900763358779494,Healthcare,Diagnostics & Research,370.0,2020
TG,-3.2994923857868135,Basic Materials,Specialty Chemicals,3000.0,2020
NYMT,-66.2303664921466,Real Estate,REIT-Mortgage,55.0,2020
LPG,-13.494809688581302,Energy,Oil & Gas Midstream,585.0,2020
KRG,-10.044785668586043,Real Estate,REIT-Retail,133.0,2020
COHU,40.21913415285943,Technology,Semiconductor Equipment & Materials,3200.0,2020
GPI,16.83585045803417,Consumer Cyclical,Auto & Truck Dealerships,15296.0,2020
CSII,-17.77374156720291,Healthcare,Medical Devices,779.0,2020
UBA,-51.13333333333334,Real Estate,REIT-Retail,105.0,2020
EXPO,17.14676078788569,Industrials,Consulting Services,901.0,2020
SCHL,-21.856508875739657,Communication Services,Publishing,8300.0,2020
WWW,0.15812776723592886,Consumer Cyclical,Footwear & Accessories,4000.0,2020
RGR,25.53383458646616,Industrials,Aerospace & Defense,1609.0,2020
AAWW,60.231316725978644,Industrials,Airports & Air Services,3587.0,2020
TPRE,-14.031413612565444,Financial Services,Insurance-Reinsurance,35.0,2020
AJRD,-19.949320433079944,Industrials,Aerospace & Defense,4814.0,2020
CUBI,-13.181577554261507,Financial Services,Banks-Regional,881.0,2020
ALG,10.311059907834096,Industrials,Farm & Heavy Construction Machinery,4270.0,2020
GES,-12.884411452810179,Consumer Cyclical,Apparel Retail,15800.0,2020
CTRE,3.355119825708059,Real Estate,REIT-Healthcare Facilities,52.0,2020
FN,12.1638567646649,Technology,Electronic Components,11506.0,2020
GNL,-17.98520204894707,Real Estate,REIT-Office,1.0,2020
PLMR,32.96124419917221,Financial Services,Insurance-Property & Casualty,77.0,2020
BANF,1.2303485987696614,Financial Services,Banks-Regional,1948.0,2020
DAKT,-19.191919191919197,Technology,Computer Hardware,2395.0,2020
MGLN,10.072472669205261,Healthcare,Healthcare Plans,10100.0,2020
AAON,17.064684485212712,Industrials,Building Products & Equipment,2290.0,2020
ROG,23.36479010738692,Technology,Electronic Components,3600.0,2020
TTMI,-5.653450807635839,Technology,Electronic Components,25700.0,2020
PATK,28.034401442641144,Consumer Cyclical,Recreational Vehicles,7500.0,2020
SNEX,10.849233071455302,Financial Services,Capital Markets,2950.0,2020
INN,-12.932790224032582,Real Estate,REIT-Hotel & Motel,59.0,2020
COOP,56.969064998262084,Financial Services,Mortgage Finance,9100.0,2020
SSTK,36.43831597476896,Communication Services,Internet Content & Information,1116.0,2020
HSTM,-25.12242899118511,Healthcare,Health Information Services,849.0,2020
HSII,0.9065550906555021,Industrials,Staffing & Employment Services,1746.0,2020
IRBT,39.856832417231246,Technology,Consumer Electronics,1159.0,2020
M,-48.51024208566107,Consumer Cyclical,Department Stores,123000.0,2020
MSTR,46.803597046782606,Technology,Software-Application,2073.0,2020
MDRX,39.0625,Healthcare,Health Information Services,9600.0,2020
DIN,-27.86860656967151,Consumer Cyclical,Restaurants,558.0,2020
ILPT,5.256622516556289,Real Estate,REIT-Industrial,0.0,2020
APEI,25.83255524431996,Consumer Defensive,Education & Training Services,1410.0,2020
DBD,-1.4991181657848318,Technology,Software-Application,22000.0,2020
OMCL,29.40767760986625,Healthcare,Health Information Services,2670.0,2020
NXGN,24.75570032573291,Healthcare,Health Information Services,2754.0,2020
CATM,-25.80374615599663,Industrials,Business Equipment & Supplies,1987.0,2020
CROX,42.23678195946975,Consumer Cyclical,Footwear & Accessories,3803.0,2020
CTS,12.819750148720995,Technology,Electronic Components,3570.0,2020
CPE,78.55611150822016,Energy,Oil & Gas E&P,475.0,2020
BKU,2.395740905057682,Financial Services,Banks-Regional,1493.0,2020
PPBI,2.102496714848885,Financial Services,Banks-Regional,989.0,2020
BCOR,-65.93083149374542,Financial Services,Asset Management,690.0,2020
AAOI,-34.36385255648038,Technology,Semiconductors,3115.0,2020
HNGR,-4.001702852277571,Healthcare,Medical Care Facilities,4800.0,2020
PRSC,50.990024183796855,Healthcare,Medical Care Facilities,3800.0,2020
NXRT,-10.858700590640604,Real Estate,REIT-Residential,3.0,2020
JRVR,12.91827215574935,Financial Services,Insurance-Specialty,800.0,2020
TALO,-146.24017957351293,Energy,Oil & Gas E&P,440.0,2020
CLDT,-37.39495798319329,Real Estate,REIT-Hotel & Motel,39.0,2020
AZZ,13.700062748379008,Industrials,Electrical Equipment & Parts,4343.0,2020
ICHR,-5.364468286525716,Technology,Semiconductor Equipment & Materials,1355.0,2020
PLT,-16.322397731875242,Technology,Communication Equipment,6584.0,2020
KREF,-12.566844919786105,Real Estate,REIT-Mortgage,0.0,2020
PRLB,33.77271563859739,Industrials,Metal Fabrication,2535.0,2020
ARLO,50.23310023310024,Industrials,Security & Protection Services,358.0,2020
ONB,-6.989247311827968,Financial Services,Banks-Regional,2484.0,2020
HSKA,29.88803358992303,Healthcare,Diagnostics & Research,386.0,2020
NSA,2.1209515620521695,Real Estate,REIT-Industrial,459.0,2020
CADE,-0.12812299807816369,Financial Services,Banks-Regional,1800.0,2020
RDNT,-18.1675392670157,Healthcare,Diagnostics & Research,6165.0,2020
GHL,-12.17765042979942,Financial Services,Capital Markets,405.0,2020
SBCF,7.369498464687821,Financial Services,Banks-Regional,968.0,2020
FELE,20.24056408129407,Industrials,Specialty Industrial Machinery,5500.0,2020
OXM,-19.986168741355467,Consumer Cyclical,Apparel Manufacturing,6100.0,2020
AMWD,-15.142287094403025,Consumer Cyclical,"Furnishings, Fixtures & Appliances",9900.0,2020
MNRO,-25.024925224327028,Consumer Cyclical,Auto Parts,8184.0,2020
DORM,29.750402576489538,Consumer Cyclical,Auto Parts,2732.0,2020
CTB,34.30059523809524,Consumer Cyclical,Auto Parts,8720.0,2020
WSR,-60.14669926650367,Real Estate,REIT-Retail,85.0,2020
LQDT,66.64576802507837,Consumer Cyclical,Internet Retail,574.0,2020
MIK,59.95125913891146,Consumer Cyclical,Specialty Retail,12000.0,2020
CAL,-31.8557475582269,Consumer Cyclical,Footwear & Accessories,11400.0,2020
STC,17.39216462208152,Financial Services,Insurance-Property & Casualty,5300.0,2020
KAMN,-8.911240515263803,Industrials,Aerospace & Defense,2935.0,2020
VIAV,-1.4388489208633042,Technology,Communication Equipment,3600.0,2020
FDP,-20.59953881629516,Consumer Defensive,Farm Products,38000.0,2020
SBH,-26.75474814203138,Consumer Cyclical,Specialty Retail,30000.0,2020
CCOI,-16.776424102732967,Communication Services,Telecom Services,1110.0,2020
BOOT,-1.4993954050785911,Consumer Cyclical,Apparel Retail,1100.0,2020
ANGO,7.769591426657738,Healthcare,Medical Instruments & Supplies,800.0,2020
GPRE,9.703113685734973,Basic Materials,Specialty Chemicals,820.0,2020
TMST,-26.838966202783293,Basic Materials,Steel,2055.0,2020
ADUS,12.47796641617961,Healthcare,Medical Care Facilities,5002.0,2020
ALRM,47.269235385908054,Technology,Software-Application,1361.0,2020
ENTA,-20.364315740308264,Healthcare,Biotechnology,141.0,2020
GPMT,-81.26858275520317,Real Estate,REIT-Mortgage,0.0,2020
PUMP,-20.246913580246922,Energy,Oil & Gas Equipment & Services,2200.0,2020
FOE,1.8651362984218063,Basic Materials,Specialty Chemicals,5922.0,2020
LCI,-19.705882352941188,Healthcare,Drug Manufacturers-Specialty & Generic,954.0,2020
AMSF,-16.261682242990656,Financial Services,Insurance-Specialty,431.0,2020
MMI,3.515944399018804,Real Estate,Real Estate Services,877.0,2020
OSPN,20.05772005772005,Technology,Software-Application,789.0,2020
FBK,-2.471974705375106,Financial Services,Banks-Regional,1377.0,2020
SANM,2.331288343558287,Technology,Electronic Components,30000.0,2020
HTLD,-0.4838709677419347,Industrials,Trucking,4050.0,2020
CBB,10.157273918741803,Communication Services,Telecom Services,4400.0,2020
CAKE,-2.756221568102759,Consumer Cyclical,Restaurants,46250.0,2020
NPK,5.296121305351068,Industrials,Aerospace & Defense,919.0,2020
UHT,-71.60545353366723,Real Estate,REIT-Healthcare Facilities,0.0,2020
COKE,-1.8350693791599277,Consumer Defensive,Beverages-Non-Alcoholic,14800.0,2020
DGII,18.414256198347108,Technology,Communication Equipment,656.0,2020
FWRD,12.065027542657534,Industrials,Integrated Freight & Logistics,4640.0,2020
AIN,4.672769504030608,Consumer Cyclical,Textile Manufacturing,4000.0,2020
UNFI,52.34943745863666,Consumer Defensive,Food Distribution,28300.0,2020
TTGT,51.7575527265818,Communication Services,Internet Content & Information,649.0,2020
ECOL,-47.97260273972602,Industrials,Waste Management,3800.0,2020
CALM,4.69959946595462,Consumer Defensive,Farm Products,3461.0,2020
BMI,34.22430114712106,Industrials,Electrical Equipment & Parts,1567.0,2020
MHO,1.7268098295328782,Consumer Cyclical,Residential Construction,1401.0,2020
RGP,-16.6156202143951,Industrials,Consulting Services,929.0,2020
HVT,25.992647058823533,Consumer Cyclical,Home Improvement Retail,3425.0,2020
VNDA,3.990963855421682,Healthcare,Biotechnology,284.0,2020
MCS,-132.4561403508772,Communication Services,Entertainment,3465.0,2020
SUPN,-5.294659300184172,Healthcare,Drug Manufacturers-Specialty & Generic,464.0,2020
MTRN,8.67810292633704,Basic Materials,Other Industrial Metals & Mining,2600.0,2020
KOP,-9.605309116311561,Basic Materials,Specialty Chemicals,2120.0,2020
AVD,-15.37986411365039,Basic Materials,Agricultural Inputs,671.0,2020
DDD,-2.1575984990619177,Technology,Computer Hardware,2472.0,2020
STAR,2.2818791946308714,Real Estate,REIT-Diversified,155.0,2020
NPO,21.388216303470546,Industrials,Specialty Industrial Machinery,5300.0,2020
FCPT,-1.6442953020134174,Real Estate,REIT-Hotel & Motel,361.0,2020
BANC,-6.8988613529805844,Financial Services,Banks-Regional,600.0,2020
FOSL,30.582774626095922,Consumer Cyclical,Luxury Goods,10200.0,2020
HMST,3.573573573573567,Financial Services,Banks-Regional,999.0,2020
PAHC,-23.99372713016205,Healthcare,Drug Manufacturers-Specialty & Generic,1700.0,2020
BEAT,22.68057531215426,Healthcare,Diagnostics & Research,1700.0,2020
ARCB,47.46880150694608,Industrials,Trucking,13000.0,2020
POWI,-26.025806451612905,Technology,Semiconductors,699.0,2020
HAYN,-0.7137490608564903,Industrials,Metal Fabrication,1037.0,2020
IBP,26.560332871012488,Industrials,Building Products & Equipment,8500.0,2020
CPRI,25.749690210656755,Consumer Cyclical,Apparel Manufacturing,10834.0,2020
BRC,-14.30635838150289,Industrials,Security & Protection Services,5400.0,2020
PLXS,11.11111111111111,Technology,Electronic Components,19500.0,2020
RPAI,-31.351351351351354,Real Estate,REIT-Retail,215.0,2020
LMAT,0.13873473917868248,Healthcare,Medical Instruments & Supplies,454.0,2020
HLIT,1.054852320675108,Technology,Communication Equipment,1162.0,2020
EBIX,3.1777277840270033,Technology,Software-Application,7975.0,2020
CENX,50.606909430438854,Basic Materials,Aluminum,2079.0,2020
BCEI,18.247191011235948,Energy,Oil & Gas E&P,125.0,2020
PETS,17.775603392041745,Healthcare,Pharmaceutical Retailers,214.0,2020
TSE,34.354285714285716,Basic Materials,Specialty Chemicals,2700.0,2020
REZI,44.88359501894965,Industrials,Security & Protection Services,13000.0,2020
SHEN,12.12979094076655,Communication Services,Telecom Services,1130.0,2020
ACA,19.325096809883824,Industrials,Infrastructure Operations,6275.0,2020
CPSI,5.865314989138309,Healthcare,Health Information Services,2000.0,2020
JBT,7.763265306122453,Industrials,Specialty Industrial Machinery,6200.0,2020
GIII,-19.920669898633754,Consumer Cyclical,Apparel Retail,4000.0,2020
DHC,-78.70370370370368,Real Estate,REIT-Healthcare Facilities,0.0,2020
SHOO,-13.880685174246906,Consumer Cyclical,Footwear & Accessories,2500.0,2020
COLB,-12.795103468376567,Financial Services,Banks-Regional,2162.0,2020
UVV,-4.134012539184952,Consumer Defensive,Tobacco,24000.0,2020
RGS,-64.75583864118896,Consumer Cyclical,Personal Services,7000.0,2020
B,-22.541222114451998,Industrials,Specialty Industrial Machinery,5749.0,2020
SMP,10.31936496215618,Consumer Cyclical,Auto Parts,4200.0,2020
BELFB,-0.46403712296984834,Technology,Electronic Components,6935.0,2020
GCI,-132.319391634981,Communication Services,Publishing,21255.0,2020
MD,-0.9186351706036784,Healthcare,Medical Care Facilities,9480.0,2020
PARR,-53.35365853658538,Energy,Oil & Gas Refining & Marketing,1408.0,2020
AEL,4.6914471309996415,Financial Services,Insurance-Life,608.0,2020
HCC,12.644742936544699,Basic Materials,Coking Coal,1417.0,2020
ABCB,-2.5255102040816197,Financial Services,Banks-Regional,2656.0,2020
CONN,24.15584415584416,Consumer Cyclical,Specialty Retail,4200.0,2020
GFF,-0.048123195380163665,Industrials,Tools & Accessories,7400.0,2020
TVTY,-17.635869565217398,Healthcare,Medical Care Facilities,1000.0,2020
RC,-31.719128329297817,Real Estate,REIT-Mortgage,500.0,2020
QEP,-32.63598326359832,Energy,Oil & Gas E&P,248.0,2020
SBSI,-10.627562283191413,Financial Services,Banks-Regional,845.0,2020
NMIH,-33.00000000000001,Financial Services,Insurance-Property & Casualty,261.0,2020
OSIS,6.026712998153976,Technology,Electronic Components,6758.0,2020
DFIN,51.39484978540773,Financial Services,Capital Markets,2900.0,2020
AGO,-43.071161048689156,Financial Services,Insurance-Specialty,441.0,2020
HZO,40.3472014366956,Consumer Cyclical,Specialty Retail,1736.0,2020
MYRG,51.92500836960161,Industrials,Engineering & Construction,7100.0,2020
NWBI,-26.446945337620587,Financial Services,Banks-Regional,2523.0,2020
CHS,-157.61589403973508,Consumer Cyclical,Apparel Retail,4788.0,2020
AKR,-63.82838283828383,Real Estate,REIT-Retail,118.0,2020
PIPR,21.390425329010103,Financial Services,Capital Markets,1510.0,2020
AVAV,20.2752842609216,Industrials,Aerospace & Defense,823.0,2020
TNC,-9.827904992177494,Industrials,Specialty Industrial Machinery,4373.0,2020
UFCS,-71.41750580945003,Financial Services,Insurance-Property & Casualty,1173.0,2020
FSS,4.739336492891,Industrials,Pollution & Treatment Controls,3600.0,2020
ECHO,28.195628010374215,Industrials,Integrated Freight & Logistics,2513.0,2020
APOG,-3.177691309987031,Industrials,Building Products & Equipment,7200.0,2020
AMPH,-0.371549893842889,Healthcare,Drug Manufacturers-Specialty & Generic,2027.0,2020
IIIN,7.8665568369028005,Industrials,Metal Fabrication,881.0,2020
HOPE,-29.395348837209305,Financial Services,Banks-Regional,1416.0,2020
GBX,33.691164327002475,Industrials,Railroads,10600.0,2020
SLCA,19.30926216640503,Energy,Oil & Gas Equipment & Services,2177.0,2020
XPER,18.819374369323917,Technology,Semiconductor Equipment & Materials,1900.0,2020
REX,12.688296639629204,Energy,Oil & Gas Refining & Marketing,128.0,2020
PKE,-10.028449502133713,Industrials,Aerospace & Defense,136.0,2020
CRMT,4.164120471409862,Consumer Cyclical,Auto & Truck Dealerships,1750.0,2020
IOSP,-13.909306796336079,Basic Materials,Specialty Chemicals,2000.0,2020
CKH,10.67015209125474,Energy,Oil & Gas Equipment & Services,2309.0,2020
CHRS,-1.2345679012345616,Healthcare,Biotechnology,306.0,2020
ITGR,-8.210846426761282,Healthcare,Medical Devices,8250.0,2020
PVAC,-97.87037037037037,Energy,Oil & Gas E&P,94.0,2020
ENSG,40.37725893681572,Healthcare,Medical Care Facilities,24500.0,2020
INDB,6.014058838844039,Financial Services,Banks-Regional,1348.0,2020
JJSF,-7.947666471392312,Consumer Defensive,Packaged Foods,4100.0,2020
MATW,-29.7635605006954,Industrials,Conglomerates,11000.0,2020
PRA,-65.32389765922699,Financial Services,Insurance-Property & Casualty,961.0,2020
SHAK,21.37778295838676,Consumer Cyclical,Restaurants,7603.0,2020
CLI,-61.58940397350994,Real Estate,REIT-Office,283.0,2020
LOCO,23.825317855168603,Consumer Cyclical,Restaurants,5005.0,2020
DCOM,-19.962917181705812,Financial Services,Banks-Regional,421.0,2020
PFS,-28.87005649717514,Financial Services,Banks-Regional,968.0,2020
KN,-10.28507546115148,Technology,Communication Equipment,8500.0,2020
ACLS,16.17493925720236,Technology,Semiconductor Equipment & Materials,960.0,2020
NX,21.209426411738548,Industrials,Building Products & Equipment,3767.0,2020
NEO,37.77992277992278,Healthcare,Diagnostics & Research,1700.0,2020
UCBI,-0.359453630481673,Financial Services,Banks-Regional,2414.0,2020
AMBC,-20.868584320360966,Financial Services,Insurance-Specialty,103.0,2020
WETF,13.552361396303905,Financial Services,Asset Management,211.0,2020
BSIG,50.695931477516055,Financial Services,Asset Management,54.0,2020
PDFS,31.418624891209753,Technology,Software-Application,353.0,2020
SGH,11.058684753759945,Technology,Semiconductors,1754.0,2020
BJRI,-19.208870242733006,Consumer Cyclical,Restaurants,22725.0,2020
RRC,58.391123439667126,Energy,Oil & Gas E&P,655.0,2020
RWT,-96.76339285714283,Real Estate,REIT-Mortgage,372.0,2020
MDP,-47.37616478666013,Communication Services,Publishing,5290.0,2020
MTSC,13.187189587258096,Technology,Scientific & Technical Instruments,3500.0,2020
PRK,7.607743943963427,Financial Services,Banks-Regional,1907.0,2020
DEA,-6.887417218543057,Real Estate,REIT-Office,37.0,2020
XNCR,28.7423892504724,Healthcare,Biotechnology,166.0,2020
ROIC,-19.46647440519107,Real Estate,REIT-Retail,73.0,2020
PRDO,-38.473520249221195,Consumer Defensive,Education & Training Services,2250.0,2020
MTDR,-17.926045016077175,Energy,Oil & Gas E&P,304.0,2020
NBHC,1.9548872180451087,Financial Services,Banks-Regional,1229.0,2020
ADC,-13.007888078583136,Real Estate,REIT-Retail,41.0,2020
CRVL,3.9542689322425115,Financial Services,Insurance Brokers,3824.0,2020
DLX,-70.61946902654869,Communication Services,Advertising Agencies,6388.0,2020
HSC,15.148063781321175,Industrials,Specialty Industrial Machinery,10500.0,2020
AIR,-20.486700622524033,Industrials,Aerospace & Defense,4200.0,2020
PNTG,55.852842809364546,Healthcare,Medical Care Facilities,4700.0,2020
RNST,7.314949201741664,Financial Services,Banks-Regional,2527.0,2020
LCII,18.64215206088464,Consumer Cyclical,Recreational Vehicles,10500.0,2020
CPK,12.82957325360153,Utilities,Utilities-Regulated Gas,955.0,2020
ALEX,-30.041641879833442,Real Estate,REIT-Diversified,793.0,2020
CVGW,-2.680605816914623,Consumer Defensive,Packaged Foods,3657.0,2020
